No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
13;;RUE;DES BELLES FEUILLES;4;83,21;;Appartement
97;;AV;VICTOR HUGO;8;319,75;;Appartement
46;;BD;FLANDRIN;6;205,71;;Appartement
131;;AV;DE MALAKOFF;5;151,4;;Appartement
19;;AV;LA GRANDE ARMEE;4;112,53;;Appartement
12;;RUE;SAINT DIDIER;2;33,96;;Appartement
3;;RUE;BELIDOR;2;30,43;;Appartement
11;B;AV;CARNOT;7;282,61;;Appartement
16;;RUE;PIERRE DEMOURS;2;39,3;;Appartement
99;;RUE;DES DAMES;3;34,47;;Appartement
27;;RUE;SAUFFROY;1;12;;Appartement
88;;RUE;DES MOINES;2;31,1;;Appartement
173;;RUE;LEGENDRE;3;68,5;;Appartement
5;;RUE;HOUDON;3;72,15;;Appartement
145;;RUE;MARCADET;2;21,61;;Appartement
8;;RUE;GUSTAVE ROUANET;2;39,65;;Appartement
12;;RUE;JOSEPH DIJON;2;28,45;;Appartement
74;;RUE;MARCADET;1;20,01;;Appartement
2;;RUE;LIVINGSTONE;4;80,62;;Appartement
7;;RUE;DES POISSONNIERS;1;10,6;;Appartement
89;;RUE;DES POISSONNIERS;2;36,8;;Appartement
1;;RUE;AFFRE;2;30,67;;Appartement
41;;RUE;DE LA CHAPELLE;3;74,61;;Appartement
3;T;RUE;JEAN COTTIN;1;40,37;;Appartement
32;;RUE;DES SOLITAIRES;1;25,22;;Appartement
75;;AV;SIMON BOLIVAR;3;73,18;;Appartement
16;;RUE;DUPONT DE L EURE;3;72,57;;Appartement
161;;RUE;DES PYRENEES;3;53,59;;Appartement
54;;RUE;SAINT BLAISE;2;39,32;;Appartement
55;;RUE;DES VIGNOLES;2;58,61;;Appartement
94;;RUE;JEAN JACQUES ROUSSEAU;1;23,05;;Appartement
7;;RUE;DE FLORENCE;3;54,23;;Appartement
10;;RUE;D ECOSSE;5;145;;Appartement
56;;RUE;DU CHAMP DES OISEAUX;1;15,92;;Appartement
13;;RUE;CESAR FRANCK;4;74,55;;Appartement
3;;RUE;CHARLOTTE PERRIAND;4;90;;Appartement
1;;AV;DU PARC;5;73,87;;Appartement
42;;BD;THIBAUD DE CHAMPAGNE;2;31,35;;Appartement
66;;RUE;DE PARIS;4;79,3;;Appartement
84;;ALL;DU SEQUOIA;1;34,58;;Appartement
59;;RUE;DU MARRONNIER;1;41,59;;Appartement
24;;AV;DU CLOS VIMONT;5;166,68;;Maison
3;K;RUE;RENE LAENNEC;5;94,48;;Maison
17;;RUE;GUY BAUDOIN;3;34,4;;Appartement
16;;BD;CHAMBLAIN;1;16,14;;Appartement
63;;RUE;CHARLES PEGUY;3;59,82;;Appartement
4;;AV;DU GENERAL DE GAULLE;2;66,71;;Appartement
7;;AV;JACQUES HEUCLIN;2;30,49;;Appartement
2;;PL;LA MARLIERE;3;72,66;;Appartement
5;;RUE;DU VIEUX MOULIN;3;65,03;;Appartement
145;;AV;DU MONTAVIOT;5;106,92;813;Maison
20;B;RUE;DE LAGNY;5;118,49;;Maison
19;;RUE;DES SCANDINAVES;3;65,87;;Appartement
18;;GR;GRANDE RUE;2;37,22;;Appartement
4;;AV;DE LA FORET;1;35;;Appartement
40;;RUE;DE SAINT GERMAIN;5;78;;Appartement
13;;RTE;DE QUARANTE SOUS;3;55,54;;Appartement
80;;QUAI;BOISSY D ANGLAS;3;57,64;;Appartement
10;;RES;TROIS FORETS;4;72,31;;Appartement
3;;ALL;AUGUSTE RODIN;3;66,15;;Appartement
21;;RUE;DU GENERAL COLIN;2;28,76;;Appartement
9;;RUE;DES ERABLES;4;97,5;;Appartement
15;;RUE;DES ERABLES;5;120,5;;Appartement
12;;RUE;DES ERABLES;1;20,83;;Appartement
34;;VC;LES NOUVEAUX HORIZONS;3;66,74;;Appartement
41;;RUE;DE CHAMPAGNE;3;46,14;;Appartement
5;;ALL;DU BEL AIR;4;65,82;;Appartement
1;;SQ;DES GENETS;4;80,25;;Appartement
3;;AV;PASCAL;4;73,92;;Appartement
14;;RUE;DE COLMAR;2;24,16;;Appartement
13;;AV;DE L ABREUVOIR;4;104,84;;Appartement
1;;SQ;DU JURANCON;3;64,95;;Appartement
113;;AV;DE POISSY;4;55,08;;Appartement
22;;RUE;VICTOR HUGO;4;87,13;;Appartement
71;;RUE;LEO LAGRANGE;4;90,32;;Maison
32;;RUE;DE CHARTRES;2;40,44;;Appartement
16;;RUE;DE LA MOTTE;3;48,33;;Appartement
40;;RUE;GABRIEL PERI;2;46,8;;Appartement
10;;RUE;MONTABE;4;75,65;;Appartement
32;;;DOMAINE DE CHEVERCHEMONT;5;136,31;;Maison
11;;ALL;CLAUDE MONET;4;85,31;;Maison
31;;AV;DU GEN LECLERC;1;20,04;;Appartement
43;;RUE;CARNOT;3;85,49;;Appartement
26;;RUE;DE SATORY;4;59,98;;Appartement
29;;RUE;MADELEINE;2;37,7;;Appartement
22;;ALL;DES CORMIERS;3;57,68;;Appartement
5291;;RUE;GROS;1;29,86;;Appartement
121;;RTE;DE LA VITARELLE;2;43,59;;Appartement
2;;RUE;DU DOC FELICIEN FABRE;1;14,03;;Appartement
620;;AV;DE LA LIBERATION;1;13,16;;Appartement
9001;;RES;PLEIN SOLEIL;2;58,4;;Appartement
22;;PAS;DE LA MAIN DE FER;5;113,21;;Appartement
88;;RUE;DES SAUGES;4;76,48;;Appartement
14;;RUE;MICHELET;3;68,73;;Appartement
6;;BD;DU FOUR DES MAURES;2;22,53;;Appartement
218;C;RUE;MARCO POLO;1;16,35;;Appartement
8;;AV;GENERAL LECLERC;2;54,7;;Appartement
103;;RTE;DU PLAN DE LA TOUR;3;80,98;;Appartement
785;;RTE;DE LA GARE;1;16,22;;Appartement
150;;CHE;DE LA BUGE;2;47,24;;Appartement
218;;VC;216 EVESCAT AU FORT CAIRE;4;69,78;;Appartement
730;;RUE;CURET BAS;2;36,87;;Appartement
180;;ALL;DE LA PINEDE;2;27,81;;Appartement
57;;IMP;GRANDVAL;3;47;;Appartement
197;;RUE;DANIEL BERTHELOT;4;67,19;;Appartement
627;;BD;JEAN BAPTISTE ABEL;2;56,72;;Appartement
36;;RUE;JULY;3;46;;Appartement
1;;RUE;CASTILLON;3;45,88;;Appartement
205;;RUE;PDT ROBERT SCHUMAN;3;68,69;;Appartement
203;;BD;ROBESPIERRE;5;94,83;;Appartement
5;;RUE;PICOT;2;52;;Appartement
19;;RUE;CHARLES PONCY;2;38,25;;Appartement
560;;AV;DU MARECHAL FOCH;5;92,56;;Appartement
13;;BD;BAUCHIERE;3;37,15;;Appartement
61;;CHE;DE PLAISANCE;4;111,24;;Appartement
126;;AV;GREN D EMPIRE CH. CHABAUD;3;73,8;;Appartement
9001;;RES;LA PINEDE ST GEORGES;4;75;;Appartement
51;;RUE;SAINT ELZEAR;1;19,97;;Appartement
36;;RUE;HENRI BARJAVEL MFT;1;97,94;;Maison
4;;RUE;DE MONS;2;22,72;;Appartement
10;;RUE;GRANDE MEUSE;1;64;;Appartement
31;B;AV;DE LA TRILLADE;3;55,59;;Appartement
600;;AV;VOLTAIRE GARCIN;2;48,1;;Maison
3;B;RUE;REBOUTADE;1;24,8;;Appartement
73;;RUE;ALBIN DURAND;2;48;;Appartement
15;;IMP;DES FRERES BOISSEL;2;45,45;;Appartement
9001;;LOT;LES ORCHIDEES IV;5;92,39;283;Maison
277;;AV;PABLO PICASSO;5;65,75;;Appartement
6;;RUE;LOUIS ARAGON;2;35,42;;Appartement
37;;RUE;EDOUARD PELTIER;2;40,26;;Appartement
21;;;RUE AGATHA CHRISTIE;3;68,64;;Maison
21;;RUE;DU MARCHE;2;47,18;;Appartement
24;;BD;SAINT JUST;2;43,96;;Appartement
10;B;RUE;SOEURS DE LA RIVIERE;3;69,12;;Appartement
31;;AV;4EME REGIMENT D'INFANTERIE;1;29,65;;Appartement
13;;AV;DU PARC DES CHAUMES;4;88,4;;Appartement
15;;IMP;DES QUINCONCES;1;71,25;;Maison
20;;RUE;ETIENNE LEBEAU;1;24,45;;Appartement
23;;RUE;DANIELLE CASANOVA;4;79,71;;Appartement
9;;RUE;DES ECOLES;4;75,4;;Appartement
14;;AV;GALLIENI;4;111;;Appartement
1;;AV;CARNOT;2;46,7;;Appartement
4;;RUE;JULES VALLES;2;54,89;;Appartement
16;;ALL;DE LA GAMBAUDERIE;8;185,44;;Maison
46;;RUE;DE COCHET;3;63,12;;Appartement
1;;RUE;DU CANAL;2;45,46;;Appartement
126;;RUE;PDT FRANCOIS MITTERRAND;1;28,35;;Appartement
76;B;RUE;PDT FRANCOIS MITTERRAND;2;67,78;;Appartement
4;;RUE;AMERIGO VESPUCCI;3;63,75;;Appartement
32;;RUE;DE LA CHAPELLE;1;28,92;;Appartement
2;T;PL;GABRIEL FONTAINE;2;49,07;;Appartement
21;;RUE;MARCEAU;2;41,32;;Appartement
9001;;RES;COMPIEGNE JUVISY;3;70,85;;Appartement
10;;IMP;DES RAYERES;2;37,71;;Appartement
2;;RUE;PIERRE DE COUBERTIN;4;88,73;;Appartement
3;;RUE;JEAN VIGO;3;55,13;;Appartement
2;;RUE;RAMEAU;5;97;;Appartement
2;;PL;DE LA LIBERTE;3;57,77;;Appartement
4;;CHE;VERT;4;80;;Maison
14;;RUE;DES HTES BRUYERES;4;86;;Maison
3;;RUE;ROYALE;5;82,16;;Maison
191;;RUE;DES RABATS;5;73,2;;Appartement
89;;RUE;ANATOLE FRANCE;7;156,11;;Maison
16;;AV;JEAN BAPTISTE CLEMENT;3;66,08;;Appartement
15;B;RUE;VICTOR MERIC;1;47,84;;Appartement
22;;AV;GALLIENI;3;55,3;;Appartement
64;;BD;MISSION MARCHAND;3;63,53;;Appartement
37;;RUE;RASPAIL;2;36,8;;Appartement
13;;RUE;P VAILLANT COUTURIER;3;58,95;;Appartement
14;;RUE;CAMILLE PELLETAN;2;47,8;;Appartement
9;;RUE;TREZEL;2;59,23;;Appartement
24;;RUE;HENRI BARBUSSE;3;64,06;;Appartement
11;;RUE;CARNOT;1;18,32;;Appartement
9;;RUE;SALVADOR ALLENDE;2;30,6;;Appartement
14;;RUE;RADIGUEY;1;14,65;;Appartement
5;;AV;DE LA MARNE;2;29,81;;Appartement
26;;RUE;MARIE DEBOS;2;35,05;;Appartement
3;;RUE;ANDRE SABATIER;2;51,42;;Appartement
6;;PL;DU MARECHAL FOCH;3;48,27;;Appartement
50;8;RUE;DE METZ;2;38,2;;Appartement
108;;ALL;DES PARFUMEURS;2;41,3;;Appartement
2;;RUE;CASIMIR PINEL;3;49,34;;Appartement
2;;VLA;SAINTE FOY;3;63,43;;Appartement
33;;RUE;PARMENTIER;3;65,58;;Appartement
24;;RUE;VICTOR HUGO;2;25,4;;Appartement
9;;RUE;PAUL BERT;3;61,92;;Appartement
11;;RUE;DE LA PASSERELLE;5;112,96;71;Appartement
13;;RUE;GARDENAT LAPOSTOL;2;72,31;;Appartement
36;;RUE;GUYARD DELALAIN;3;53,51;;Appartement
57;;RUE;DE LA COMMUNE DE PARIS;1;27,43;;Appartement
8;;RUE;VEUVE BOUQUIN;2;45;;Appartement
1;;RUE;KLEBER;4;79,75;;Maison
30;;RUE;SAINT CLAUDE;2;46,92;;Appartement
147;;AV;DES ARTS;4;104,5;;Maison
36;;BD;CHANZY;3;61,7;;Appartement
11;;RUE;DIDEROT;3;73,77;;Appartement
14;;AV;DU PRESIDENT ROOSEVELT;2;33,54;;Appartement
29;;ALL;DE LA BATELLERIE;3;60,34;;Maison
8;;PL;DU 11 NOVEMBRE 1918;3;66,13;;Appartement
122;;AV;DE LA RESISTANCE;3;60,2;;Appartement
1;;ALL;D OBERNAI;4;81,51;;Appartement
6;;RUE;DES MYOSOTIS;2;52,82;;Appartement
64;;BD;MARCEL SEMBAT;3;63,6;;Appartement
27;;RUE;DU LANDY;2;32,54;;Appartement
7;B;RUE;RAYMOND JACLARD;2;50,13;;Appartement
62;;AV;DE LA CONVENTION;4;103,94;;Maison
3;;RUE;DU BEL AIR;1;18,39;;Appartement
182;B;RUE;DE VERDUN;3;64,42;;Appartement
23;;RUE;KARL MARX;3;57,78;;Appartement
14;;RUE;ALBERT THURET;2;40,33;;Appartement
20;;RUE;DE LA PLUMERETTE;4;84,52;;Appartement
73;;RUE;MARCEL ET JACQUES GAUCHER;2;28,62;;Appartement
21;;ALL;DU MALI;4;66,69;;Appartement
11;;AV;DE LA PLAGE;3;54,14;;Maison
12;;AV;DE LA MARNE;3;57,61;;Appartement
50;;RUE;DU GENERAL LECLERC;4;80,29;;Appartement
23;;RUE;ANTOINE DE SAINT EXUPERY;2;42,6;;Appartement
8;;RUE;EUGENE RENAULT;3;58,66;;Appartement
81;;RUE;THEODORE HONORE;2;24,51;;Appartement
15;;RUE;LOUIS BONIN;2;41,98;;Appartement
4;B;RUE;LATERALE DU VIADUC;1;26,96;;Appartement
64;B;AV;LAMARTINE;4;90,8;;Appartement
14;B;RUE;DANIELLE CASANOVA;4;83,8;;Appartement
57;B;AV;LEDRU ROLLIN;2;50,45;;Appartement
9;;AV;GEORGES FOUREAU;4;74,62;;Appartement
117;;AV;MAURICE BERTEAUX;3;64,05;;Appartement
26;;AV;DE CHENNEVIERES;1;47,89;;Appartement
48;;CHS;DE L ETANG;1;16,15;;Appartement
3;;AV;DE LA PELOUSE;2;27,88;;Appartement
15;;BD;DES MURIERS;1;14,04;;Appartement
104;T;AV;DU BAC;3;87,29;;Appartement
21;;RUE;PAUL VAILLANT COUTURIER;3;64,09;;Appartement
51;;AV;DE VERSAILLES;4;88,22;;Appartement
6;;ALL;DES SYCOMORES;3;66,46;;Appartement
91;;AV;DE PARIS;1;20,5;;Appartement
56;;RUE;RENE HAMON;4;103,03;;Appartement
24;;AV;DU MARECHAL DE TURENNE;2;46,5;;Appartement
11;;RUE;ALEXIS QUIRIN;3;54,05;;Appartement
3;;RUE;CHARLES PATHE;4;89,1;;Appartement
1;;BD;DE LA LIBERATION;4;111,73;;Appartement
23;;AV;GABRIEL PERI;1;11;;Appartement
27;;RUE;PROFESSEUR CALMETTE;4;82,76;;Appartement
20;;RUE;PIERRE SEMARD;1;17,39;;Appartement
29;;RUE;LOUIS BLANC;4;87;;Appartement
8;;ESP;SALVADOR ALLENDE;3;67,06;;Appartement
6;;RES;DE BRETAGNE;2;56,38;;Appartement
21;;RUE;DE LA REPUBLIQUE;1;29,43;;Appartement
23;;RUE;CURIE;3;124,11;;Maison
3;;PL;DES AUBEPINES;1;28,95;;Appartement
1;;RUE;DU DOCTEUR PEYROT;1;22,57;;Appartement
20;;RUE;JULES FERRY;4;75,25;;Appartement
2;;RUE;CLAUDE BERNARD;2;44,81;;Appartement
6;;IMP;DES CLOS MILONS;3;65;;Appartement
16;;RUE;DU GUE;1;25,2;;Appartement
41;;ALL;DES MUSARDIERES;4;92,54;;Maison
3;;RUE;DU GOULET;3;43,69;;Appartement
22;;AV;VICTOR HUGO;6;286,96;;Appartement
57;;ALL;TOULOUSE LAUTREC;5;88,42;;Maison
9001;;RES;DES HAUTS ST NICOLAS;1;36,83;;Appartement
12;;RUE;SERE DEPOIN;5;83,33;;Appartement
15;;AV;DANIELLE CASANOVA;3;68,88;;Appartement
9;;PL;ALBERT CAMUS;4;73,66;;Appartement
91;;BD;MARECHAL FOCH R N 14;4;74,7;;Appartement
12;;QUAI;DU HALAGE;3;56,71;;Appartement
6;;RUE;DU CLOS DU ROI;2;58,08;;Appartement
3;;SQ;DU PICCOLO;5;91,86;;Appartement
5;;ALL;DU BORDEAU;3;72,15;;Appartement
2;;AV;GANDHI;2;39,48;;Appartement
9001;F;RUE;DU PONTCEAU;4;51,85;;Appartement
1;;LOT;LE LAGON DE FLORIDA;3;62,68;;Appartement
374;;;LES JARDINS DE BELLE POULE;4;71,42;;Appartement
116;;IMP;PRUNE MOUBIN;2;38,56;;Appartement
34;;AV;SAINT DOMINIQUE;4;95,65;;Maison
16;;ALL;DES PRIMEVERES;2;32,31;;Appartement
9;;RUE;KERUSCUN;3;67,21;;Appartement
1;;RUE;DES CENDRES;2;54,98;;Appartement
10;;PL;DE LA MAIRIE;2;40,55;;Appartement
31;;RUE;DU 42E DE LIGNE;2;31,2;;Appartement
3;;RUE;MARGUERITE CHAPON;2;45,76;;Appartement
1;;RUE;DES CLOS RIBAUDS;2;43,08;;Appartement
14;;RUE;DE LA SOURCE;3;62,15;;Appartement
40;;MTE;DES CANNES;2;48,42;;Appartement
32;;RUE;DE LA LINOTTE;3;53,42;;Appartement
5293;;;LA TARTARASSE;3;23,08;;Appartement
14;;RUE;MARCEAU;2;59,25;;Appartement
26;;AV;D ARCHES;3;82,4;;Appartement
13;;RUE;DE LA PAIX;3;95,54;;Appartement
30;B;RUE;JAILLANT DESCHAINETS;8;214,88;;Appartement
17;;RUE;DE LA PIERRE;2;54,89;;Appartement
124;;AV;DE LA PEROUSE;3;27,25;;Appartement
228;;RES;LA GRANDE BLEUE;3;26,95;;Maison
231;;RES;MAISONS D SABLES 4;2;26,7;;Appartement
304;C;RES;LES ARENES;2;27,17;;Appartement
14;;RUE;MALTE BRUN;4;71,85;;Appartement
22;;RUE;DU RICOQUET;1;19,97;;Appartement
13;;RUE;DU PORT;4;66,16;;Appartement
25;;AV;TURGOT;1;19,32;;Appartement
7;;RUE;DU FOSSE;3;82,92;;Appartement
21;;RUE;DE LEHON;2;40,81;;Appartement
43;B;RUE;FOCH;4;127,34;;Appartement
13;;PL;DE LA LIBERTE;2;22,94;;Appartement
3;;CHE;DU PERRIER;4;71,31;;Appartement
50;;RUE;MONGE;4;80,16;;Appartement
3;T;RUE;CARNOT;1;16,03;;Appartement
7;;RUE;DES CHANGES;4;90,52;;Appartement
13;;RUE;PERRAULT;4;82,98;;Appartement
40;;RUE;SAINT MICHEL;1;30,85;;Appartement
19;;AV;WINSTON CHURCHILL;3;69,35;;Maison
21;;RUE;DANTON;1;26,29;;Appartement
97;;AV;DE LA GARE;1;17,03;;Appartement
40;;;COTEAU DE KERAMPERCHEC;4;109,82;;Maison
;;RES;LES COLLINES DU RICANTO;2;50,73;;Appartement
9004;;;QRT OLIVETO;2;41,48;;Appartement
9504;;;MACINA;2;51,48;;Appartement
5009;;;CUDETA;1;22,43;;Appartement
333;;RUE;VINCENT;2;54,82;;Appartement
511;;AV;JEAN JAURES;1;23,6;;Appartement
14;;PL;JULES FERRY;3;51,29;;Appartement
22;;RUE;DES TROENES;3;65,41;;Appartement
60;;RUE;NOTRE DAME;2;49,48;;Appartement
6013;;CHE;DU DEROC;4;103,4;;Maison
1;;RPT;HENRY DUNANT;2;38,46;;Appartement
27;;RUE;ST VINCENT DE PAUL;3;51,64;;Appartement
186;;RUE;EMILE COMBES;4;88,98;;Appartement
3;;RUE;LEOPOLD LAPLANTE;5;104,89;;Maison
32;;AV;MARC NOUAUX;2;38,9;;Appartement
80;;RTE;DE SALIGNAC;2;42,52;;Appartement
295;;RTE;DE SAINT ROMAIN;2;59,51;;Appartement
9001;;RES;RIMBAUD;1;24,62;;Appartement
;;IMP;DE BISSERIE;2;34,08;;Appartement
5;;AV;DE LA BUTTE;1;19,71;4;Appartement
2;;RUE;ISCHIA;2;39,65;;Appartement
3;;RUE;DE LA COURETTE;1;20,16;;Appartement
42;;RUE;NOEL SYLVESTRE;5;76,46;;Appartement
53;;RUE;KLEBER;2;25,58;;Appartement
4;;RUE;GABRIEL FAURE;3;56,26;;Maison
1;;ALL;DES ONDINS;2;25,47;;Appartement
13;;RUE;FOCH;3;77,39;;Appartement
1265;;RUE;DE BUGAREL;4;83,19;;Appartement
11;;RUE;JULES ROBERT;2;33,57;;Appartement
11;;RUE;JULES ROBERT;2;38,48;;Appartement
48;;RUE;DE LA PIONNIERE;1;30,93;;Appartement
40;;RUE;DE LA VALLEE;1;21,45;;Appartement
23;;PL;DE LA MAIRIE;2;29,7;;Appartement
8;;RUE;DU GRIFFON;2;31,59;;Appartement
19;;RUE;JEANNE COUPLAN;1;20,07;;Appartement
20;;RUE;DE CHATILLON;1;28,38;;Appartement
29;;BD;GEORGES CLEMENCEAU;3;55,37;;Appartement
39;;RUE;VILLE PEPIN;2;50,02;;Appartement
13;;ALL;SIMONE SIGNORET;4;97;;Maison
21;;RUE;VICTOR HUGO;1;35,72;;Appartement
22;;RUE;AUGUSTE CHEVALLIER;1;25,55;;Appartement
5068;;;CHAMP DES CHARDS;1;44,75;;Appartement
16;;ALL;DES GENETS;1;37,34;;Appartement
39;;AV;MARIE REYNOARD;4;79,85;;Appartement
11;;RUE;DES VIKINGS DE VENOSC;1;28,58;;Appartement
10;;ALL;DU VIEUX CEDRE;3;69,15;;Appartement
21;;RUE;GENEVOISE;1;37,5;;Appartement
26;;RES;DU GOLF BAT LE MASTER;2;27,32;;Appartement
17;;RUE;DES PONTIERES;2;52,45;;Appartement
13;;RUE;DE L APPRENTISSAGE;2;47,81;;Appartement
54;;RUE;MAL JOFFRE;1;38,3;;Appartement
59;B;AV;DU ONZE NOVEMBRE 1918;3;74,06;;Maison
27;;ALL;DES PINGOUINS;3;71,74;;Appartement
4;;AV;BARBARA;2;41,79;;Appartement
1;;AV;DE L EUROPE;2;42,66;;Appartement
41;;RUE;ETIENNE DOLET;3;45,84;;Appartement
18;B;QUAI;DU FORT ALLEAUME;3;104,2;;Appartement
33;;BD;DES ECREHOUS;3;38,58;;Appartement
28;F;BD;MARITIME;2;46,26;;Appartement
8;B;RUE;COURAYE;3;86;;Appartement
7;;AV;DE LA GARE;2;39,59;;Appartement
12;;RUE;FORTEL;3;82,6;;Appartement
14;;BD;DIEU LUMIERE;1;31,01;;Appartement
49;;RUE;DE TALLEYRAND;4;87,74;;Appartement
;;AV;ALFRED ANATOLE THEVENET;3;67,5;;Appartement
3;;RUE;DE LA GARE;4;112,03;;Appartement
46;;RUE;DE L ABBE DIDELOT;3;67,05;;Appartement
60;B;RUE;DE VIC;2;46,31;;Appartement
52;;BD;DE SCARPONE;3;65,21;;Appartement
35;;RUE;DE LA SOURCE;2;31,38;;Appartement
49;;BD;LOBAU;3;89,97;;Appartement
2;;RUE;LOTHAIRE II;4;80,83;;Appartement
23;;ALL;DU PRACTICE;3;69,24;;Appartement
14;;RUE;GARIBALDI;3;73,2;;Appartement
13;;RUE;DES MERLES;4;74,86;;Appartement
8573;;CHS;DES BERNACHES;3;37,18;;Appartement
7484;;RES;LE MAEVA;2;40,25;;Appartement
83;;RUE;DE LA GARE;2;39,52;;Appartement
3;;RUE;GERMAINE TAILLEFERRE;3;64,34;;Appartement
8;B;RUE;DES CARDINAUX;2;27,59;;Appartement
1;;PL;DE LA REPUBLIQUE;3;47,58;;Appartement
44;;RUE;GAMBETTA;4;76;;Appartement
9;;RES;FLANDRE;1;42,6;;Appartement
22;;RUE;DE PUEBLA;1;19,4;;Appartement
66;;AV;DE FLANDRE;2;36;;Appartement
3;;RUE;DE LA CONCORDE;4;76,23;;Appartement
33;;BD;BLERIOT;3;70,03;;Appartement
44;;RUE;MARECHAL JOFFRE;2;16,05;;Appartement
12;;RUE;D'ETIGNY;4;116,81;;Appartement
110;;BD;D ALSACE LORRAINE;2;75,03;;Appartement
17;;RUE;DE MEON;4;64,5;;Appartement
39;;RUE;DE LA GROTTE;2;59,07;;Appartement
8;;PL;DES PYRENEES;3;82,53;;Appartement
10;;RUE;DESPOURRINS;3;112,93;;Appartement
23;;RUE;DE VERDUN;2;45,69;;Appartement
53;;MTE;DE LA BOUCLE;3;77,35;;Appartement
14;;RUE;PIERRE BRUNIER;4;88,08;;Appartement
110;;IMP;JEAN ANTOINE FOISON;5;104,63;;Maison
11;;AV;DU NORD;3;69,4;;Appartement
26;;CHE;DE L AIGAS;3;72,95;107;Appartement
399;;RUE;PAUL CLAUDEL;3;60,12;;Appartement
66;;RUE;DEDIEU;3;73,47;;Appartement
53;A;AV;ANTOINE ST EXUPERY;2;46,66;;Appartement
7;;RUE;DESIREE;2;26,61;;Appartement
38;;RUE;DES RANCY;4;107,87;;Appartement
3;;RUE;DE VILLON;5;109,58;;Appartement
155;;CRS;ALBERT THOMAS;2;59,57;;Appartement
23;;QUAI;JOSEPH GILLET;4;54,12;;Appartement
11;;RUE;DE LA FAVORITE;3;55,88;;Appartement
32;;RUE;CHAZAY;2;108,84;;Appartement
96;;RUE;MONTAGNY;6;68,86;;Appartement
37;;RUE;PROFESSEUR PATEL;4;84,8;;Appartement
15;B;RUE;DOC FERNAND RENAUD;5;142,5;;Appartement
42;;RUE;PIERRE BELON;4;82,47;;Appartement
16;;CHE;DE L AUNAIE;4;82,92;;Appartement
2;;RUE;DU PARC;2;39,52;;Appartement
4;;AV;DE GENEVE;1;76,57;;Appartement
658;;RTE;DES GRANGETTES;4;52,46;;Maison
893;;RTE;DE CHEVALY;2;34,93;;Appartement
18;;RUE;MONTMARTRE;4;52,79;;Appartement
39;;RUE;SAINT ROCH;1;32,04;;Appartement
84;;RUE;NOTRE DAME DE NAZARETH;2;42,16;;Appartement
170;;RUE;DU TEMPLE;1;19,44;;Appartement
31;;RUE;CHARLOT;2;25,6;;Appartement
58;;RUE;DU CHERCHE-MIDI;2;29,39;;Appartement
8;;RUE;MAGELLAN;5;192,19;;Appartement
7;;RUE;DE PONTHIEU;1;18,64;;Appartement
66;;RUE;DU FBOURG MONTMARTRE;1;29,02;;Appartement
6;;CITE;DU WAUX HALL;1;12,24;;Appartement
17;;BD;DE BELLEVILLE;2;21,11;;Appartement
71;;RUE;JEAN PIERRE TIMBAUD;1;18,26;;Appartement
25;;RUE;DE LA FOLIE MERICOURT;1;15,61;;Appartement
11;;RUE;GUILLAUME BERTRAND;3;70,21;;Appartement
21;;BD;RICHARD LENOIR;1;33,34;;Appartement
50;;AV;PHILIPPE AUGUSTE;3;56,11;;Appartement
26;;RUE;DE LA VOUTE;4;80,55;;Appartement
261;;AV;DAUMESNIL;2;38,63;;Appartement
30;;RUE;DE LA GARE DE REUILLY;1;27,63;;Appartement
6;;RUE;D ALIGRE;3;82,05;;Appartement
4;;RUE;PAULIN MERY;3;85,75;;Appartement
25;;RUE;DE LA SABLIERE;3;33,86;;Appartement
1;;SQ;AUGUSTE RENOIR;4;87,86;;Appartement
51;;RUE;BRANCION;2;31,52;;Appartement
4;;IMP;MATHIEU;1;23,07;;Appartement
53;;RUE;BARGUE;2;49,54;;Appartement
60;B;RUE;DES ENTREPRENEURS;1;26,9;;Appartement
136;;AV;FELIX FAURE;1;13,5;;Appartement
75;;RUE;LEBLANC;1;15,6;;Appartement
104;;RUE;BOILEAU;3;51,86;;Appartement
8;;RUE;GERICAULT;4;75,28;;Appartement
14;;RUE;WEBER;4;80,03;;Appartement
2;;AV;DE VILLIERS;5;123,57;;Appartement
136;;RUE;CHAMPIONNET;1;28,28;;Appartement
62;;RUE;DU RUISSEAU;2;33,64;;Appartement
118;;RUE;MARCADET;1;24,95;;Appartement
19;;RUE;DU MONT CENIS;2;58,89;;Appartement
112;;RUE;DE CLIGNANCOURT;2;48,79;;Appartement
124;B;AV;DE FLANDRE;2;40,8;;Appartement
81;;AV;SIMON BOLIVAR;3;75,63;;Appartement
3;;RUE;PIERRE BAYLE;2;28,61;;Appartement
2;;RUE;PIERRE DE COUBERTIN;4;70,23;;Appartement
5;;RUE;SADI CARNOT;1;17,9;;Appartement
1;;RUE;DES GOBELINS;2;33,42;;Appartement
8;;RUE;CDT CHEF D HOTEL;1;20,78;;Appartement
1;;RUE;DE BRAZZA;4;103,63;;Appartement
15;;RUE;PETIT DE BEAUVERGER;2;37,5;;Appartement
19;;RUE;GEORGES CLEMENCEAU;4;75,6;;Maison
8;;RUE;PASTEUR;4;75,12;;Maison
27;;RUE;GAMBETTA;4;79,4;;Appartement
4;;PL;DU COTEAU;4;83,68;;Appartement
