No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
8;;PL;DU GUESCLIN;4;168,7;;Appartement
6113;;;SUVERA TORTA;2;32,16;;Maison
5495;;CHE;NEUF;4;82,11;;Maison
163;;RUE;DE BRUNSWICK;1;36,29;;Appartement
74;;IMP;DES LUPINS;3;65,24;;Appartement
4;;RUE;DEMOISELLES DE GASCOGNE;2;36,46;;Appartement
10;;BD;PIERRE CURIE;3;60,16;;Appartement
7;;RUE;ARISTIDE DE SOUSA-MENDES;3;56,67;;Appartement
422;;RTE;DE TOULOUSE;2;50,16;;Appartement
51;;RUE;DE PESSAC;1;26,39;;Appartement
12;;RUE;ANDRE LEROUX;2;35,8;;Appartement
16;;AV;VIEILLE TOUR;1;20,15;;Appartement
6;B;RTE;DE LA GARONNE;2;62,55;;Appartement
24;;ALL;DE LA FLANERIE;1;23,7;;Appartement
94;;RUE;FRANCOISE GIROUD;2;44,14;;Appartement
8;;AV;GAL DE GAULLE;3;59,19;;Appartement
;;RES;PORT VAUBAN;3;62,66;;Appartement
2;B;AV;CHARLES LE GOFFIC;3;56,15;;Appartement
2;;RUE;DUGUESCLIN;1;16,54;;Appartement
7;;RUE;JEAN LURCAT;3;65,52;;Appartement
42;;CRS;JEAN JAURES;2;31;;Appartement
3;;AV;DE VALMY;3;61,23;;Appartement
10;;RUE;ELISEE CHATIN;3;76,75;;Appartement
5519;;RES;LES TERRASSES DE L ALPE I;1;16,3;;Appartement
1;;RUE;FRANZ LISZT;4;60,73;;Appartement
2;;RUE;SIMONE DE BEAUVOIR;4;81,25;;Appartement
7;;PL;DE LA VICTOIRE;5;97,41;;Maison
11;;RUE;DES SERRES;4;85,32;;Appartement
220;;CHE;DE LAREIGNE;2;45,94;;Appartement
9;T;AV;DE LA GARE;3;53,22;;Maison
1;;ALL;HELENE ET JACQUES SOLOMON;3;65,26;;Appartement
3;;PL;ALEXANDRE VIRO;4;91,43;;Appartement
80;;RTE;DE L ETANG;4;74,39;;Maison
33;;RUE;DU TREYVE;3;90,2;;Appartement
85;B;RUE;JOANNY AUGE;3;76,75;;Appartement
12;;RUE;BERCHOUX;2;41,31;;Appartement
10;;RUE;DES ECOLIERS;2;61,37;;Appartement
115;;RUE;DU MOULIN A VENT PROLONGE;4;75,95;;Appartement
33;;RUE;ST GILLES;2;36,98;;Appartement
29;;RUE;CHARLES NUNGESSER;3;51,77;;Maison
2;;IMP;DE L HOTEL DIEU;1;62,88;;Maison
44;;BD;OCEANIDES;2;67,98;;Appartement
5;;RUE;LOUISE MICHEL;2;53,25;;Appartement
28;;RUE;GUSTAVE EIFFEL;3;60,7;;Appartement
481;;AV;DU LOIRET;4;70,03;;Appartement
13;;RUE;DE GAUCOURT;2;44,39;;Appartement
28;;RUE;DE LA HAUTE CROIX;1;26,25;;Appartement
63;;RUE;DU PRE PIGEON;3;71,08;;Appartement
99;;RUE;DE LA MADELEINE;1;21,62;;Appartement
1;;;LE CARRE DES TOILES;2;39,78;;Appartement
72;;RUE;SAINT PIERRE;2;59,19;;Appartement
2;;RUE;DES AUGUSTINS;1;31,79;;Appartement
1;;PL;CARNOT;2;43,85;;Appartement
17;;RUE;DU BOUCAU;3;58,53;;Appartement
3;;IMP;DU RAIL;2;38,01;;Appartement
324;;RUE;DE LA REPUBLIQUE;2;43,84;;Appartement
2;B;RUE;DES CLIGNETTES;4;64,45;;Appartement
1;;RUE;SAINT EXUPERY;4;87,68;;Maison
2;;ALL;DE LA GRAVIERE;2;54,68;;Appartement
9;B;CHE;DU LOUP;3;60,77;;Appartement
18;B;RUE;DU PERRON;4;104,11;;Maison
437;;RUE;DE THIZY;3;56,02;;Appartement
14;;RUE;IMBERT COLOMES;3;28,17;;Appartement
6;;RUE;ROUX SOIGNAT;1;49,13;;Appartement
49;;RUE;EUGENE PONS;2;51,01;;Appartement
15;;PL;EDOUARD DE LA BOUSSINIERE;1;20,92;;Appartement
5669;H;;IMM ARCELLE 1;2;30,84;;Appartement
448;;AV;DU MONT PACCARD;2;16,7;;Appartement
116;;RUE;DE L AUTOMNE;2;47,17;;Appartement
7;;RUE;NOTRE DAME DE NAZARETH;2;27,37;;Appartement
67;;RUE;DE BRETAGNE;1;26,43;;Appartement
22;;RUE;DU TEMPLE;2;34,6;;Appartement
9;;RUE;LARREY;1;27,01;;Appartement
1;;RUE;HUYSMANS;1;29,5;;Appartement
62;;RUE;SAINT PLACIDE;5;110,09;;Appartement
66;;RUE;DE RENNES;5;165,15;;Appartement
45;;RUE;BONAPARTE;3;78,83;;Appartement
27;;RUE;DES SAINTS PERES;2;48,96;;Appartement
139;;RUE;DU FBG SAINT DENIS;2;36,47;;Appartement
32;;RUE;DES PETITS HOTELS;2;49,6;;Appartement
25;;PAS;DUBAIL;3;69,08;;Appartement
13;;BD;DE LA VILLETTE;3;50,78;;Appartement
6;;RUE;DE NEMOURS;1;18,21;;Appartement
15;;BD;RICHARD LENOIR;5;130,65;;Appartement
4;;RUE;MAILLARD;3;53,8;;Appartement
4;;RUE;MAILLARD;2;31,48;;Appartement
